"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"TTC37",9936,8523,5008,5562,3970,2155,7427,4942,4185,1455,5439,1788,6607,6522,3494,4055,1482,5675,1599,3129
"TTC38",2562,2681,1545,1856,1982,1925,1119,3728,1085,786,2326,1780,1548,4148,1723,759,419,1795,149,808
"TTC39A",17161,6327,3464,3730,1868,4866,7804,22667,6237,1697,4484,5076,2154,17152,8381,1237,627,15875,1340,9059
"TTC39A-AS1",302,176,101,102,65,230,142,642,124,35,97,92,23,393,236,33,17,127,47,96
"TTC39B",707,6294,1380,1182,1624,589,846,994,1364,576,1789,910,1836,1094,859,1125,324,2584,818,633
"TTC39C",2892,3159,2154,1305,1845,2188,3976,2460,1883,1116,1424,1734,1579,2524,939,1182,638,1277,554,927
"TTC39C-AS1",10,16,18,24,80,23,44,5,19,5,21,21,20,3,4,2,5,9,4,4
"TTC39CP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTC39DP",2,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0
"TTC3P1",1253,1193,440,253,312,361,658,613,617,175,672,58,972,908,429,391,28,245,102,510
"TTC4",196,146,135,196,133,110,162,237,117,54,198,94,124,287,139,154,48,241,73,123
"TTC41P",26,119,58,50,38,35,97,99,53,23,32,59,62,63,35,62,9,60,73,33
"TTC4P1",3,2,0,1,2,0,0,0,0,3,2,0,3,2,0,3,0,3,0,1
"TTC5",1399,895,434,1015,895,778,953,1277,852,259,1083,472,1365,1492,661,752,272,1057,434,562
"TTC6",321,2733,1303,808,332,488,3100,1627,2955,282,1043,839,1017,1993,766,525,3393,1184,2405,1271
"TTC7A",2287,2503,2082,1902,4446,1450,943,3143,2002,1091,4339,1645,2175,1737,1824,629,1042,3773,409,1482
"TTC7B",1586,1333,190,781,1594,742,513,589,805,379,1557,510,913,501,551,285,254,1160,338,507
"TTC8",2419,1916,1619,2402,1509,2259,2939,2771,1996,886,1529,1370,1501,2432,1573,2623,969,1987,545,1034
"TTC9",2863,2629,972,1398,2897,2444,1499,2943,4822,610,907,1950,2039,3598,1157,2547,444,868,612,967
"TTC9B",27,22,14,7,10,7,1,23,5,4,8,35,4,16,9,3,3,7,9,3
"TTC9C",2053,1691,420,829,1146,524,1002,1279,724,383,1100,674,1257,1443,749,949,425,889,381,658
"TTF1",1556,1615,518,927,1226,990,1467,1367,953,361,1057,1009,1110,1311,799,794,365,1043,379,637
"TTF2",1570,2376,965,1113,1223,675,1739,1122,666,648,1245,487,709,1633,862,1442,105,1193,796,858
"TTI1",4945,2635,852,1324,1451,938,3172,1784,1670,452,1802,1097,2537,2304,1022,1183,682,3063,787,893
"TTI2",1577,728,424,471,594,387,895,808,750,166,947,308,853,952,649,309,165,541,186,448
"TTK",1150,275,303,130,384,89,1617,113,490,352,227,460,881,866,136,235,52,518,249,132
"TTL",2944,2319,1056,1472,3391,2072,2787,1945,1772,916,2814,1954,2729,2933,1472,1424,868,2088,1095,1231
"TTLL1",1384,1263,614,551,619,1096,1011,1412,618,275,662,707,445,1411,527,416,156,750,139,311
"TTLL10",12,57,23,25,76,38,4,39,169,13,67,27,19,15,29,17,16,23,0,15
"TTLL10-AS1",8,13,2,10,24,7,2,4,20,4,39,11,6,3,8,2,0,6,0,1
"TTLL11",260,431,75,187,219,164,112,289,368,36,350,173,278,235,227,209,120,214,98,165
"TTLL11-IT1",5,1,0,5,2,3,1,8,1,0,2,4,0,1,0,2,0,0,15,2
"TTLL12",6946,5535,1949,4645,3177,20511,6379,9059,3106,4554,2807,3745,2521,15897,3699,3637,908,6423,1029,982
"TTLL13P",22,21,21,16,18,9,15,19,30,18,16,14,15,10,15,11,11,13,8,3
"TTLL2",2,7,1,1,15,0,2,6,3,4,7,3,5,3,1,0,2,0,0,6
"TTLL3",1377,3871,1513,1493,2278,788,2303,2280,1886,1141,4142,925,982,1345,1998,1382,1112,1221,4669,653
"TTLL4",1482,2880,853,1689,1639,550,2161,2020,1575,445,2108,1613,962,2487,1236,853,1076,1492,815,762
"TTLL5",2909,2028,1310,2226,1572,1214,3299,2451,2327,586,1828,1063,1838,3580,1466,1514,760,1979,2179,1293
"TTLL6",3,10,1,5,6,1,26,2,5,3,5,13,6,1,1,4,0,45,4,4
"TTLL7",891,198,136,992,261,174,1632,556,201,137,520,132,214,245,356,52,199,251,649,258
"TTLL7-IT1",1,0,0,2,1,0,0,0,0,1,1,0,0,1,2,0,1,1,113,0
"TTLL8",0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,10,0
"TTLL9",65,257,107,95,80,21,434,333,459,61,130,308,16,171,169,54,23,95,123,46
"TTN",818,1650,189,1392,892,436,1539,543,251,615,1334,193,927,1348,568,374,173,383,3618,274
"TTN-AS1",298,547,128,650,333,315,683,272,189,219,462,122,430,577,274,147,225,146,166,137
"TTPA",23,29,6,26,31,20,44,11,33,0,43,3,42,179,29,2,6,13,54,16
"TTPAL",2258,2259,949,1594,1132,996,2304,1702,1177,491,1685,1076,1921,2416,951,987,588,2419,1093,776
"TTR",2,1,771,13,3,0,13,1,10,8,0,1,0,0,2,0,21,2,1,0
"TTTY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TTTY11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY15",0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0
"TTTY16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY17A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY17B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY17C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY21B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY23B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY25P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY4B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY4C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY8B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY9B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTYH1",130,162,25,590,53,63,72,635,74,23,200,99,30,256,643,14,50,121,184,167
"TTYH2",1616,1428,133,784,1181,335,127,354,307,148,1241,120,455,279,426,200,109,818,140,281
"TTYH3",9385,9644,2354,8134,12550,4045,4224,4533,8366,2141,17396,2593,5396,7490,3754,2191,4160,5602,693,5935
"TUB",1836,2770,30,819,569,248,410,775,645,50,1390,214,438,376,813,254,218,1118,443,314
"TUB-AS1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0
"TUBA1A",16578,6056,3574,8042,16404,24613,17207,20556,24598,4100,18478,31442,15845,19139,7575,4798,3760,17519,2300,10745
"TUBA1B",16941,12789,4619,12820,15340,8523,16456,8927,17396,3094,14884,9698,18316,20372,6390,6041,1069,17334,1269,6501
"TUBA1C",6828,3843,1276,3821,4906,3344,6409,2477,6654,856,4106,3206,6794,5648,1444,3053,1462,6186,388,2154
"TUBA3C",1,5,0,0,1,0,1,1,0,1,0,8,0,0,0,1,0,2,0,0
"TUBA3D",83,734,68,57,315,38,612,109,416,50,48,577,55,113,67,60,6,196,74,269
"TUBA3E",10,221,9,8,63,30,91,26,73,27,19,366,19,8,46,8,0,15,0,21
"TUBA3FP",18,22,12,13,19,10,25,24,15,12,29,16,4,16,17,16,9,16,9,14
"TUBA3GP",0,0,0,0,1,0,3,1,2,2,1,0,0,0,0,0,0,1,0,0
"TUBA4A",1466,3026,3458,1413,2527,666,1220,1468,2689,1777,1414,3403,1027,2473,1294,322,398,1437,94,577
"TUBA4B",4,10,2,2,3,1,18,1,697,2,0,1,7,0,3,0,5,8,0,0
"TUBA8",5,60,11,13,24,9,11,9,13,4,16,17,6,17,23,18,11,11,36,5
"TUBAL3",70,39,68,13,29,190,19,90,179,99,43,120,67,38,42,35,2,500,9,6
"TUBAP",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"TUBAP2",37,23,12,14,27,24,27,8,27,4,23,58,41,28,4,18,3,18,23,10
"TUBAP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB",66358,23291,21656,32586,38982,30004,68886,23317,55049,17462,33778,50165,67422,61997,18263,26110,12803,39606,10788,22856
"TUBB1",20,21,4,14,30,5,26,23,24,7,38,5,8,9,20,70,2,12,15,6
"TUBB1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TUBB1P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB2A",2349,1395,501,2020,2347,1400,841,1486,3640,85,2624,1778,1461,1277,915,361,1081,337,45,561
"TUBB2B",220,140,59,536,306,188,116,991,284,47,673,70,231,369,375,26,59,138,18,114
"TUBB2BP1",0,0,1,1,2,2,0,1,4,2,1,1,0,5,0,0,0,0,0,0
"TUBB3",81,31,8,67,124,254,167,82,222,26,118,6,205,40,41,22,29,14,9,64
"TUBB3P1",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TUBB3P2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
"TUBB4A",106,10,5,33,18,10,5,49,14,19,5,9,33,17,9,3,3,72,10,13
"TUBB4AP1",0,1,1,0,1,1,5,0,0,0,0,4,1,1,0,1,0,0,1,0
"TUBB4B",21090,17743,16302,15746,14466,14106,16313,15725,36920,5469,15142,37656,15269,28744,8952,7908,11639,11219,1026,7861
"TUBB4BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB4BP2",2,0,0,0,0,0,2,0,0,0,1,1,1,2,1,0,0,0,38,0
"TUBB4BP3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB4BP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB4BP5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TUBB4BP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB4BP7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TUBB6",3111,2881,656,5563,8930,4979,2351,3362,6960,657,11063,1462,4855,2558,2004,956,4352,2637,274,2309
"TUBB7P",0,0,0,1,1,1,13,19,1,1,1,3,0,0,3,2,1,3,0,0
"TUBB8",144,89,30,4,19,8,33,50,58,13,34,32,38,88,21,56,89,68,0,39
"TUBB8P1",9,16,0,5,4,1,12,11,8,3,12,0,1,10,5,5,0,5,33,3
"TUBB8P10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TUBB8P11",1,0,0,1,1,1,4,13,1,2,4,0,0,1,2,0,0,0,0,1
"TUBB8P12",1,14,9,8,10,4,22,53,24,7,11,14,12,20,14,23,3,43,2,27
"TUBB8P2",3,1,0,1,1,0,1,1,0,1,3,0,1,0,3,1,0,0,66,1
"TUBB8P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TUBB8P4",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"TUBB8P5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBB8P6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TUBB8P7",1,7,3,5,3,1,15,44,16,5,8,3,5,4,9,2,4,17,3,22
"TUBB8P8",0,0,2,1,4,0,2,13,3,0,0,2,0,1,3,0,0,2,0,2
"TUBB8P9",0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
"TUBBP1",93,36,35,42,51,24,51,27,50,18,39,44,56,47,19,37,17,48,5,34
"TUBBP10",3,1,2,2,1,3,3,12,0,0,3,1,0,4,2,2,0,4,0,0
"TUBBP11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBBP2",2,1,0,1,3,1,1,1,3,1,1,2,2,7,1,2,0,2,1,0
"TUBBP5",543,14,84,51,73,234,103,154,207,14,96,167,144,185,180,1,47,274,11,184
"TUBBP6",3,0,0,0,0,0,3,0,2,1,1,1,1,0,0,4,0,0,2,1
"TUBBP8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUBBP9",1,1,0,1,2,2,1,4,0,0,1,1,2,1,0,0,1,0,0,0
"TUBD1",997,743,503,592,431,589,700,947,391,271,608,507,814,715,534,455,260,681,160,357
"TUBE1",682,813,837,590,710,557,1116,1099,540,279,1083,329,1119,1091,899,640,345,595,208,368
"TUBG1",8213,3108,2481,1990,1480,1748,1798,2017,3874,923,2254,2857,2799,3374,1189,1190,521,5240,400,1657
"TUBG1P",11,18,1,2,2,0,7,6,0,2,2,14,7,6,1,7,0,4,46,2
"TUBG2",1856,1743,2226,1362,928,1290,391,1527,1082,758,2305,1661,909,883,1108,742,540,1629,264,574
"TUBGCP2",4616,8864,3940,4588,6334,3888,3623,6705,8338,1680,5764,7275,3816,6626,3710,3108,2113,3005,601,2895
"TUBGCP3",1635,2554,543,1583,2166,1294,2223,1956,1528,573,2019,477,2276,2084,1433,1492,853,1443,1047,872
"TUBGCP4",2074,1232,587,891,690,524,1316,1050,1004,329,1171,265,2363,1591,707,809,135,1220,405,580
"TUBGCP5",600,1421,889,1184,1232,294,1196,1130,1139,494,1457,316,1470,1699,835,741,244,1144,441,618
"TUBGCP6",4454,7047,4401,3994,5246,3459,2045,6107,2474,2692,6532,2431,1436,3937,4713,2432,1013,2415,546,1187
"TUFM",15665,14154,9540,12506,12653,9966,7159,19358,16666,4781,10252,17396,8560,18042,7722,8550,6696,11796,494,8046
"TUFMP1",1,0,0,1,1,3,1,0,1,0,3,0,0,0,0,1,0,4,0,1
"TUFT1",5294,4363,2010,7796,5061,2703,9255,2861,9849,499,2302,1923,3339,4510,1682,2778,2268,4096,2612,1445
"TUG1",17274,12216,7239,7297,8010,7812,24708,10878,7121,5860,11688,5074,13461,18836,7928,9271,4181,10597,5492,5211
"TULP1",18,23,4,38,8,7,1,62,24,4,24,36,4,11,19,0,12,11,1,9
"TULP2",3,12,4,7,27,9,1,13,5,0,10,3,2,14,7,4,1,8,8,3
"TULP3",2134,2256,1145,1471,1502,1230,2518,1816,2286,335,2277,946,2125,2140,1257,1034,699,1971,1348,1057
"TULP3P1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TULP4",7736,5798,1636,1308,2525,2562,9035,4126,4596,1165,2430,3243,7416,5744,2078,2182,1064,2417,4421,1263
"TUNAR",1,0,7,65,3,6,21,506,0,12,4,2,0,17,1,0,0,5,3,18
"TUSC1",1531,1730,993,1291,1631,1919,1221,2599,2996,437,1709,2896,2676,1705,888,801,632,922,102,640
"TUSC2",1641,3081,1642,1706,1780,1836,2181,2480,2994,739,1731,2454,2372,3122,1283,1194,1323,1538,208,1105
"TUSC3",1027,817,1536,948,1601,2439,5360,5100,5713,490,2223,887,2889,1050,1178,376,497,728,585,1273
"TUSC7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TUSC8",14,310,171,189,1,5,220,639,112,67,387,83,231,84,312,103,78,138,10,98
"TUT1",1676,1384,598,907,1087,788,550,1978,702,405,1212,2002,419,1373,898,562,863,770,173,518
"TUT4",2523,1830,279,1454,1768,419,592,2264,692,693,2758,263,1523,769,1395,302,204,1466,1724,811
"TUT7",3789,4200,1440,2661,2489,1711,3543,3294,1754,920,2739,1141,3089,1959,2457,2819,1004,2568,1812,1335
"TVP23A",38,334,29,116,331,58,104,113,162,133,186,33,75,118,76,36,48,121,61,77
"TVP23B",2688,1664,841,1350,1004,1901,1803,1447,1041,517,1396,445,1724,2877,1137,1133,434,1310,180,745
"TVP23BP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TVP23BP2",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"TVP23C",117,299,222,213,197,262,116,321,400,119,219,191,106,338,179,165,193,150,333,66
"TVP23C-CDRT4",3,24,7,11,6,13,4,12,18,3,11,0,3,50,12,9,1,25,4,7
"TVP23CP1",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,56,0
"TVP23CP2",2,0,0,0,1,2,1,1,0,0,0,6,4,3,1,1,0,1,131,0
"TWF1",6783,5578,2331,2872,3132,3697,9736,3564,3344,1046,2385,1321,7046,7703,2048,5266,1238,3467,852,2208
"TWF1P1",16,5,1,11,6,8,8,2,4,0,2,0,5,16,7,12,0,7,7,1
"TWF2",2018,4154,2256,3359,6200,2844,711,2954,4939,1136,4429,3270,1460,3460,1914,1241,1582,2368,61,1697
"TWIST1",386,725,17,298,2351,890,319,120,581,221,2288,267,1024,260,383,142,494,236,96,347
"TWIST2",150,265,15,354,1841,539,169,199,1048,48,1976,160,992,154,351,87,908,166,150,281
"TWISTNB",1852,1870,476,1998,1184,1988,2005,1328,1044,491,1540,648,2771,1728,855,1019,581,1415,347,1081
"TWNK",715,1499,462,1923,565,1105,593,1633,1136,344,803,1137,922,1806,704,1070,521,985,152,499
"TWSG1",2928,3777,2025,3515,2701,2791,3200,2375,2737,1433,3178,1203,5864,3300,2043,6559,1682,2445,605,3048
"TXK",3,102,35,58,259,22,35,38,8,288,104,14,66,25,42,17,13,40,49,17
"TXLNA",9653,10215,4761,7955,6535,3123,7117,7890,4896,1830,8931,2841,5717,11254,4700,4925,1881,6518,2280,4313
"TXLNB",147,865,422,531,409,379,302,567,508,442,590,201,695,278,258,196,563,417,223,327
"TXLNG",2515,2731,1007,1624,1635,1194,2757,2163,977,538,2024,1068,2251,2557,1297,1646,532,2341,886,902
"TXLNGY",0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,2,0,0,0
"TXN",11574,9369,10538,5175,6346,7575,14642,9492,9963,4210,4965,18670,11798,6965,3762,6638,6804,5143,600,3032
"TXN2",6188,4980,3758,4018,5155,4145,3901,5787,4504,1749,3883,4338,3285,6926,3229,4323,1653,3940,600,2084
"TXNDC11",5902,4788,2171,5297,4162,2390,4271,4329,11859,1481,3677,2778,3672,4936,2947,2295,1837,3434,992,2876
"TXNDC12",5966,3702,2968,3730,4503,3093,5893,4706,2907,1745,4036,1994,4461,5297,2124,2262,1535,3470,487,2593
"TXNDC12-AS1",3,2,2,2,0,3,3,0,0,1,0,1,0,1,0,2,0,1,12,0
"TXNDC15",6307,4758,6814,2387,4097,2408,4823,3726,4804,1297,4210,2732,6967,4254,2474,2868,2004,3716,1067,2676
"TXNDC16",3293,984,612,1073,992,950,1733,1204,1152,401,1050,821,2894,2417,731,1048,213,1170,518,750
"TXNDC17",2010,2512,2222,1241,1681,1608,1856,1998,3598,1097,1374,2659,2017,2984,950,732,2042,1360,115,794
"TXNDC2",4,6,2,10,9,15,10,6,6,4,7,0,12,14,3,2,0,6,23,3
"TXNDC5",629,689,88,622,571,210,112,419,526,46,718,64,225,541,411,371,5,311,98,247
"TXNDC8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"TXNDC9",2859,1684,1008,1316,1652,1549,2267,1795,1832,491,1219,2037,2940,2325,989,1442,887,1708,233,959
"TXNIP",49228,100789,6334,23488,89540,50992,21990,59062,42391,24570,64433,11186,51228,70377,39159,24325,16599,42723,14846,37410
"TXNL1",7455,4471,3791,2246,3336,3231,7963,4452,4174,1695,3543,4991,6143,7235,2521,3746,2850,3043,1156,2513
"TXNL1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXNL4A",4311,2834,2794,1530,2496,3265,3710,3202,4216,1299,2354,7677,3483,3606,1632,2616,1878,2363,386,1404
"TXNL4B",874,588,263,556,559,411,303,604,357,209,740,361,629,696,432,372,248,494,136,324
"TXNP1",1,0,2,0,1,1,1,0,2,0,1,3,0,2,0,2,0,0,3,0
"TXNP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXNP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXNP4",3,1,3,3,3,2,1,10,8,1,6,3,1,1,1,3,3,0,0,2
"TXNP5",4,4,4,3,2,9,1,2,4,3,2,9,3,6,2,5,0,1,28,0
"TXNP6",2,1,1,5,1,5,14,2,3,1,1,7,4,1,1,1,5,2,20,7
"TXNP7",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TXNRD1",7209,6146,2092,3635,5218,2106,5205,3447,4399,835,4354,1588,5376,4192,2194,2872,1636,5463,797,2017
"TXNRD2",1859,2312,1654,2004,1659,1431,1354,3649,2429,540,1902,6167,716,2360,1672,955,1855,1195,435,496
"TXNRD3",898,1284,161,626,446,623,197,918,503,129,669,486,798,816,520,509,227,523,68,375
"TYK2",7654,8764,3553,9975,7884,3596,3053,5851,6908,2789,7268,3558,3897,5726,4292,2463,1661,5136,911,2912
"TYMP",11010,11741,3913,9591,16060,2789,3168,3720,6262,5386,4829,6466,2031,6400,2539,5254,2237,12262,622,3334
"TYMS",1690,682,851,776,1247,1109,2236,401,1885,971,902,1942,1198,2118,463,585,166,942,278,348
"TYMSOS",86,50,67,15,25,48,63,31,73,25,36,171,15,145,22,26,8,35,1,12
"TYMSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TYMSP2",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"TYR",1,1,1,0,2,0,0,0,22,0,1,2,3,0,0,0,1,3,11,1
"TYRL",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TYRO3",1121,827,411,324,1440,791,190,343,1147,138,891,310,454,898,261,249,300,300,59,289
"TYRO3P",3,1,0,4,2,0,4,8,0,0,4,0,0,7,2,0,0,2,32,1
"TYROBP",1964,5204,2469,4191,11075,2421,2569,1661,3054,1757,12959,1876,5123,2168,973,752,1971,4322,857,2385
"TYRP1",161,2,2,1,4,46,29,1,298,4,1,26,37,6,3,0,7,2,5,60
"TYSND1",2417,4181,2112,1642,2091,2061,1143,3259,2787,860,1900,2687,1515,2476,1583,1484,1304,2086,199,837
"TYW1",1712,2270,976,1389,1189,1134,1435,1591,1460,408,1310,1016,2486,1799,939,1293,951,1388,418,803
"TYW1B",113,213,97,203,160,94,507,185,305,82,385,78,201,964,290,397,85,163,67,83
"TYW3",1780,1231,1492,1002,1262,1685,1593,1796,847,501,1419,622,1125,2344,1189,1918,295,1463,505,945
"TYW5",809,945,266,661,619,668,764,643,637,224,722,415,729,750,506,672,261,597,635,374
"U2AF1",126,28,38,110,105,80,4,167,6,22,318,27,1,70,86,16,19,60,186,42
"U2AF1L4",602,779,470,525,1101,706,719,651,1333,434,816,1171,384,470,527,249,534,367,201,274
"U2AF1L5",1,70,16,25,27,30,56,0,99,11,1,9,17,20,25,33,3,13,0,1
"U2AF2",16345,14710,7067,10472,9832,6789,6244,13344,13758,4271,10122,7998,7334,14126,7525,5813,3515,7471,1734,4549
"U2SURP",11734,8842,3396,3598,5283,4495,10426,5378,4319,3491,6068,2084,8267,8597,4214,5208,2962,5022,2729,3097
"U40455.1",1,1,2,0,1,2,10,1,5,1,6,0,2,1,2,2,1,1,0,0
"U47924.1",12,15,16,6,7,11,6,16,13,2,9,54,1,22,5,2,24,3,11,3
"U47924.2",63,73,95,114,149,43,77,86,95,43,103,89,68,82,77,109,46,106,30,34
"U47924.3",10,10,11,7,16,11,7,13,23,9,11,21,14,19,7,2,6,6,0,7
"U51244.1",0,0,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,84,0
"U52111.1",32,25,11,25,30,9,32,22,23,8,80,15,36,29,13,8,10,17,44,15
"U62317.1",51,109,8,58,95,16,302,16,21,55,29,11,39,93,7,36,20,368,3,24
"U62317.2",304,392,350,780,911,255,321,263,365,807,397,310,145,320,149,305,242,391,94,99
"U62317.3",14,21,13,2,2,10,11,7,4,9,11,6,0,4,5,8,2,10,13,4
"U62317.4",11,11,2,7,16,2,10,0,4,14,3,9,6,9,1,11,1,51,0,7
"U62631.1",5,32,1,15,59,3,7,3,14,71,9,1,6,14,7,2,0,10,3,2
"U73023.1",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,8,0
